ENTIDAD,matricula_inicial,sobrevivientes,bajas_totales,ciclo_escolar,tasa_abandono_pct
7,221873,204045,24386,2019-2020,10.990972312989863
7,219018,198752,24214,2020-2021,11.055712315882712
7,213516,198119,20892,2021-2022,9.784746810543473
7,211986,193263,23158,2022-2023,10.92430632211561
7,210290,192993,23510,2023-2024,11.179799324742024
12,157212,147597,16387,2019-2020,10.423504567081393
12,148371,148325,10917,2020-2021,7.357906868592918
12,143039,139885,10583,2021-2022,7.398681478477897
12,143246,136035,11896,2022-2023,8.304594892702065
12,144323,136433,11436,2023-2024,7.92389293459809
20,153759,137904,19049,2019-2020,12.388868293888487
20,148985,140125,13397,2020-2021,8.992180420847736
20,142914,132936,13335,2021-2022,9.33078634703388
20,147146,130734,18927,2022-2023,12.862734970709363
20,151344,135144,18431,2023-2024,12.178216513373506
